id	x	y	nivel	phcacl2	mo	p	k	al	ca	mg	hal	sb	t	v	cu	mn	fe	zn	areia	silte	argila
44	-55.556282043457	-21.6416320800781	5	5.46	26.71	23.28	0.45	0.00	6.52	2.46	2.72	9.43	12.16	77.61	12.55	75.65	63.95	7.59	350.00	150.00	500.00
45	-55.5566167322664	-21.6422324642232	5	5.54	24.52	17.03	0.59	0.00	9.85	3.63	2.81	14.07	16.88	83.35	9.86	89.20	107.62	5.33	350.00	150.00	500.00
46	-55.5573490982624	-21.642243343219	5	5.07	18.35	14.79	0.52	0.00	4.47	1.92	4.03	6.91	10.94	63.16	7.87	80.34	24.67	3.42	375.00	150.00	475.00
47	-55.5570106506348	-21.6415996551514	5	5.47	23.36	14.70	0.65	0.00	5.79	2.11	3.23	8.55	11.78	72.61	8.01	74.15	58.16	5.49	350.00	150.00	500.00
48	-55.5566825866699	-21.6409511566162	5	5.54	30.22	24.12	0.54	0.00	5.42	2.04	3.09	8.00	11.09	72.14	8.39	75.11	83.41	6.84	350.00	150.00	500.00
49	-55.5559730529785	-21.6403350830078	5	5.22	29.16	17.03	0.45	0.00	5.17	1.94	3.86	7.56	11.43	66.19	6.35	46.46	40.30	5.92	325.00	150.00	525.00
50	-55.556079864502	-21.6397094726563	5	4.79	24.59	13.86	0.55	0.12	4.25	1.68	5.79	6.47	12.26	52.80	7.33	59.03	30.05	3.04	300.00	175.00	525.00
51	-55.5553741455078	-21.6390914916992	5	5.16	27.65	16.93	0.49	0.00	5.81	2.20	3.86	8.50	12.37	68.76	6.82	63.04	41.48	5.38	250.00	175.00	575.00
52	-55.5555725097656	-21.638463973999	5	5.29	31.35	14.32	0.67	0.00	6.15	2.28	3.55	9.10	12.65	71.95	6.08	66.10	52.39	4.76	250.00	175.00	575.00
53	-55.5549201965332	-21.6378898620605	5	5.00	37.66	16.38	0.58	0.00	5.42	1.96	4.16	7.95	12.12	65.65	4.32	58.02	41.77	4.03	250.00	150.00	600.00
54	-55.5550346374512	-21.6372108459473	5	5.11	33.37	22.72	0.55	0.00	6.26	2.46	3.86	9.27	13.13	70.57	7.67	71.18	90.54	6.64	250.00	125.00	625.00
55	-55.5546155532219	-21.636608520742	5	5.06	38.06	13.86	0.41	0.00	5.55	2.05	4.21	8.01	12.22	65.57	5.81	72.42	33.53	5.88	225.00	175.00	600.00
56	-55.5553272721004	-21.6366282600396	5	5.16	43.49	14.60	0.35	0.00	6.29	3.27	3.99	9.91	13.90	71.30	6.47	54.36	66.11	3.53	225.00	150.00	625.00
57	-55.5557174682617	-21.6372108459473	5	5.18	43.36	16.19	0.27	0.00	6.64	2.17	4.21	9.08	13.29	68.35	6.69	69.10	32.86	5.01	225.00	175.00	600.00
58	-55.5556335449219	-21.6378765106201	5	5.43	35.03	13.48	0.62	0.00	5.99	2.34	3.37	8.96	12.33	72.69	5.41	52.96	30.58	3.87	250.00	150.00	600.00
59	-55.556266784668	-21.6384658813477	5	5.31	31.82	13.30	0.45	0.00	6.31	2.35	3.74	9.11	12.86	70.89	5.69	65.20	30.41	3.81	275.00	175.00	550.00
60	-55.5561103820801	-21.6390972137451	5	4.85	34.99	20.76	0.39	0.00	5.71	1.73	5.91	7.83	13.74	57.00	7.67	41.51	27.89	7.59	275.00	175.00	550.00
61	-55.5567893981934	-21.6397190093994	5	4.95	25.43	18.15	0.89	0.00	4.92	1.71	4.30	7.52	11.82	63.63	9.80	51.18	72.25	5.40	350.00	150.00	500.00
62	-55.556697845459	-21.6402683258057	5	5.04	30.67	16.38	0.40	0.00	5.61	1.60	3.78	7.62	11.40	66.82	11.72	76.51	64.75	5.21	350.00	150.00	500.00
63	-55.557373046875	-21.6409339904785	5	5.45	26.44	16.93	0.85	0.00	5.19	1.88	2.87	7.93	10.80	73.42	6.93	80.76	42.13	5.67	400.00	125.00	475.00
64	-55.5577201843262	-21.6415901184082	5	5.14	20.38	11.80	0.47	0.00	4.52	1.58	3.86	6.57	10.44	62.98	9.36	75.39	96.01	7.34	375.00	125.00	500.00
65	-55.5580671527456	-21.6422360290255	5	5.37	26.04	23.09	0.50	0.00	6.20	1.90	3.26	8.60	11.86	72.52	5.96	51.26	27.23	3.22	375.00	125.00	500.00
66	-55.5587995192739	-21.6422469016322	5	5.01	29.77	14.23	0.64	0.00	6.26	2.36	4.44	9.26	13.70	67.62	9.47	56.85	73.12	8.31	375.00	125.00	500.00
67	-55.5584945678711	-21.6416206359863	5	5.16	26.75	17.21	0.58	0.00	5.23	1.64	3.91	7.44	11.35	65.59	7.83	101.67	48.03	4.05	400.00	150.00	450.00
68	-55.5581169128418	-21.6409931182861	5	5.26	26.57	13.95	0.46	0.00	7.04	1.82	3.51	9.33	12.84	72.65	8.50	85.58	52.96	5.37	400.00	150.00	450.00
69	-55.5574569702148	-21.6403579711914	5	5.01	24.41	15.72	0.54	0.12	5.35	1.57	3.74	7.46	11.20	66.59	7.63	62.44	31.78	7.21	400.00	150.00	450.00
70	-55.5575637817383	-21.6397342681885	5	5.27	34.12	13.58	0.42	0.00	5.69	2.05	3.63	8.16	11.79	69.24	7.44	72.86	46.14	6.53	350.00	150.00	500.00
71	-55.5568542480469	-21.6390972137451	5	5.13	28.89	25.33	0.59	0.00	5.78	1.76	4.63	8.14	12.77	63.75	6.66	70.04	48.53	5.34	350.00	150.00	500.00
72	-55.5570411682129	-21.6384944915771	5	5.32	25.92	15.44	0.84	0.00	6.20	1.45	4.03	8.50	12.53	67.82	7.34	56.98	54.78	5.53	300.00	200.00	500.00
73	-55.5564079284668	-21.6379051208496	5	5.21	27.24	13.39	0.47	0.00	6.20	2.31	3.86	8.98	12.84	69.91	8.22	59.08	70.04	4.20	250.00	150.00	600.00
74	-55.5564765930176	-21.6372413635254	5	5.43	25.27	11.15	0.44	0.00	5.47	2.18	3.47	8.09	11.57	69.96	6.64	62.46	51.29	3.87	250.00	150.00	600.00
75	-55.5560657820862	-21.6366256469762	5	5.18	29.59	5.92	0.39	0.00	5.01	1.72	3.95	7.13	11.08	64.36	5.59	64.32	28.53	31.60	225.00	125.00	650.00
76	-55.5567835394214	-21.6366454325222	5	5.17	30.15	14.04	0.41	0.00	5.28	2.18	4.03	7.87	11.90	66.12	8.48	56.48	36.48	5.01	250.00	150.00	600.00
77	-55.5571899414063	-21.6372413635254	5	5.06	27.25	9.94	0.43	0.00	5.29	2.40	4.16	8.12	12.28	66.12	8.17	75.69	31.26	4.04	250.00	175.00	575.00
78	-55.5571022033691	-21.6379203796387	5	5.33	32.75	15.63	0.37	0.00	6.77	2.32	3.55	9.46	13.01	72.71	9.65	77.97	48.40	6.55	300.00	175.00	525.00
79	-55.5577392578125	-21.6384792327881	5	5.53	26.96	6.95	0.29	0.00	6.05	2.33	2.93	8.67	11.60	74.73	7.97	91.39	45.75	5.61	350.00	150.00	500.00
80	-55.5575675964355	-21.6390686035156	5	5.28	25.55	11.90	0.36	0.00	4.05	2.21	3.55	6.62	10.17	65.11	7.20	51.73	32.14	3.33	350.00	150.00	500.00
81	-55.5582466125488	-21.639705657959	5	5.42	22.61	9.94	0.53	0.00	5.22	2.30	3.12	8.05	11.18	72.05	7.65	74.46	35.23	5.59	400.00	125.00	475.00
82	-55.5581398010254	-21.6403427124023	5	5.21	22.81	13.30	0.41	0.00	6.39	2.81	3.59	9.61	13.20	72.82	9.21	66.72	49.05	5.37	400.00	150.00	450.00
83	-55.5588302612305	-21.6409645080566	5	5.62	23.37	10.50	0.52	0.00	6.21	2.73	2.72	9.46	12.18	77.66	6.38	46.90	51.13	3.77	400.00	150.00	450.00
84	-55.5592231750488	-21.6416206359863	5	5.14	23.45	8.44	0.49	0.00	4.85	1.80	3.33	7.15	10.48	68.21	8.35	60.73	63.35	3.83	350.00	200.00	450.00
85	-55.5595174844841	-21.6422486132531	5	5.28	27.29	8.63	0.60	0.00	3.63	2.28	3.26	6.51	9.77	66.64	6.37	45.12	30.20	4.78	325.00	175.00	500.00
86	-55.5602540334202	-21.6422640321557	5	5.34	22.04	8.72	0.55	0.00	4.32	2.42	3.55	7.28	10.83	67.24	6.07	51.79	36.42	4.72	250.00	175.00	575.00
87	-55.5599479675293	-21.6416492462158	5	5.22	24.22	9.19	0.58	0.00	2.91	1.82	3.63	5.31	8.94	59.44	6.41	47.60	33.35	3.82	300.00	200.00	500.00
88	-55.5595893859863	-21.6409645080566	5	5.23	24.14	14.23	0.75	0.00	4.10	2.08	3.55	6.93	10.48	66.12	7.85	79.85	58.54	5.84	375.00	175.00	450.00
89	-55.558910369873	-21.6403274536133	5	5.86	24.67	28.32	0.88	0.00	7.03	3.15	2.72	11.07	13.79	80.26	6.39	60.20	43.24	6.33	400.00	150.00	450.00
90	-55.5589866638184	-21.639705657959	5	5.45	21.27	13.67	0.59	0.00	5.48	1.86	3.55	7.93	11.48	69.09	8.12	80.75	36.12	4.54	400.00	150.00	450.00
91	-55.5583076477051	-21.6390972137451	5	5.76	26.32	10.22	0.50	0.00	5.44	2.33	2.72	8.28	11.00	75.25	10.06	77.12	42.90	3.94	350.00	175.00	475.00
92	-55.5584945678711	-21.6384792327881	5	5.49	28.28	10.12	0.30	0.00	7.85	2.22	2.87	10.37	13.24	78.32	9.51	67.81	46.26	6.94	400.00	150.00	450.00
93	-55.5578308105469	-21.6379203796387	5	5.43	31.68	13.30	0.36	0.00	5.54	2.09	2.72	7.99	10.71	74.59	8.03	59.27	55.13	5.32	325.00	175.00	500.00
94	-55.5579299926758	-21.6372413635254	5	5.09	28.98	12.92	0.40	0.00	5.28	2.20	3.86	7.89	11.75	67.12	7.43	57.99	48.64	4.78	300.00	200.00	500.00
95	-55.5575220947325	-21.6366382969442	5	5.34	30.04	7.04	0.55	0.00	5.92	2.33	2.99	8.79	11.79	74.59	6.81	74.43	49.72	4.11	250.00	200.00	550.00
96	-55.5582539637862	-21.6366356164913	5	5.20	28.41	15.07	0.25	0.00	6.33	2.39	3.23	8.97	12.20	73.56	11.27	90.31	88.95	5.38	300.00	200.00	500.00
97	-55.5586585998535	-21.6372261047363	5	5.37	28.83	9.56	0.41	0.00	6.33	2.39	3.29	9.12	12.41	73.46	8.02	53.60	73.22	5.41	350.00	150.00	500.00
98	-55.5585594177246	-21.6379051208496	5	5.24	26.71	9.56	0.47	0.00	4.06	2.11	3.86	6.64	10.50	63.21	7.99	51.16	39.78	4.41	350.00	150.00	500.00
99	-55.5592231750488	-21.6384792327881	5	5.10	27.29	9.00	0.37	0.00	4.63	1.91	4.53	6.91	11.44	60.40	2.93	27.30	20.47	1.76	400.00	150.00	450.00
100	-55.5590057373047	-21.6391124725342	5	5.66	22.00	10.78	0.52	0.00	5.90	2.13	3.12	8.54	11.67	73.22	10.88	89.33	53.75	5.08	400.00	150.00	450.00
101	-55.5597305297852	-21.6397495269775	5	5.78	24.26	44.65	1.01	0.00	7.54	2.48	2.50	11.03	13.53	81.52	10.62	75.13	58.70	5.78	400.00	150.00	450.00
102	-55.5596237182617	-21.6403427124023	5	5.67	20.61	26.73	1.02	0.00	6.19	2.05	2.53	9.26	11.78	78.56	9.04	75.00	51.22	4.56	400.00	150.00	450.00
103	-55.5602989196777	-21.6409797668457	5	5.45	27.44	11.90	0.57	0.00	6.28	2.47	2.99	9.32	12.32	75.69	10.79	70.78	79.42	4.53	350.00	150.00	500.00
104	-55.5606307983398	-21.6416358947754	5	5.14	28.24	10.78	0.55	0.00	6.22	2.42	3.59	9.18	12.77	71.91	6.64	50.72	37.74	4.71	250.00	200.00	550.00
105	-55.560971954368	-21.6422702535414	5	4.99	39.81	6.95	0.52	0.00	4.74	1.75	4.25	7.01	11.26	62.24	6.31	58.14	64.44	4.15	250.00	150.00	600.00
106	-55.5617085487161	-21.6422811499594	5	5.23	27.10	11.15	0.43	0.00	7.71	1.87	3.70	10.01	13.71	72.99	7.97	71.19	38.78	5.66	225.00	175.00	600.00
107	-55.5613746643066	-21.6416358947754	5	5.04	25.27	8.91	0.53	0.00	6.08	1.80	4.39	8.40	12.79	65.68	7.88	66.85	37.74	3.58	250.00	150.00	600.00
108	-55.5610427856445	-21.6410083770752	5	4.93	23.53	12.46	0.61	0.00	3.93	2.07	4.48	6.62	11.10	59.62	6.10	60.59	27.20	4.54	250.00	175.00	575.00
109	-55.5603218078613	-21.6403579711914	5	5.54	26.76	11.80	0.71	0.00	6.90	2.23	2.99	9.84	12.83	76.66	7.69	105.00	37.88	4.05	350.00	175.00	475.00
110	-55.5604591369629	-21.6397342681885	5	5.26	29.21	16.93	0.60	0.00	6.03	2.10	4.07	8.73	12.80	68.17	9.52	62.89	52.61	4.23	350.00	175.00	475.00
111	-55.5597038269043	-21.6390972137451	5	5.31	21.42	4.81	0.41	0.00	5.17	2.24	3.16	7.83	10.98	71.25	8.04	73.42	39.34	5.31	400.00	150.00	450.00
112	-55.5599365234375	-21.6385040283203	5	5.20	26.52	7.23	0.39	0.00	5.05	2.04	3.44	7.48	10.92	68.52	7.49	61.78	29.49	3.26	400.00	150.00	450.00
113	-55.5592918395996	-21.6379451751709	5	5.44	28.89	11.62	0.42	0.00	5.60	1.95	2.87	7.97	10.84	73.51	10.64	90.97	44.28	3.39	400.00	150.00	450.00
114	-55.559398651123	-21.6372852325439	5	5.21	26.75	15.82	0.23	0.00	5.96	1.77	3.23	7.96	11.19	71.17	7.10	66.80	38.05	6.10	350.00	175.00	475.00
115	-55.5589717668766	-21.636650876555	5	5.21	27.48	10.12	0.32	0.00	7.24	2.24	3.19	9.80	12.99	75.44	8.80	75.50	47.36	4.13	350.00	150.00	500.00
116	-55.5596972187316	-21.6366255519031	5	5.39	28.84	15.44	0.26	0.00	7.07	2.02	3.12	9.34	12.47	74.94	6.62	75.87	42.96	5.65	350.00	175.00	475.00
117	-55.5601196289063	-21.6372585296631	5	5.12	28.76	13.11	0.41	0.00	5.24	2.47	3.91	8.12	12.03	67.53	7.61	94.33	45.71	5.76	400.00	150.00	450.00
118	-55.5600128173828	-21.63791847229	5	5.25	28.80	10.03	0.40	0.00	7.19	1.96	3.82	9.55	13.38	71.42	8.95	61.15	53.68	5.47	400.00	150.00	450.00
119	-55.5606575012207	-21.6385040283203	5	5.02	24.59	11.62	0.50	0.00	5.41	1.89	4.21	7.80	12.01	64.97	9.47	100.70	49.69	3.59	400.00	150.00	450.00
120	-55.5604934692383	-21.639123916626	5	4.97	25.98	9.28	0.46	0.00	4.95	2.07	4.93	7.48	12.41	60.25	7.50	52.67	42.52	3.40	400.00	150.00	450.00
121	-55.5611572265625	-21.6397342681885	5	4.76	25.25	21.41	0.49	0.00	3.64	1.36	4.58	5.50	10.08	54.55	13.65	95.06	70.71	6.96	350.00	150.00	500.00
122	-55.56103515625	-21.6403560638428	5	5.37	29.04	10.59	0.57	0.00	6.86	2.66	2.96	10.08	13.05	77.29	7.62	52.50	43.10	4.37	300.00	200.00	500.00
123	-55.5617904663086	-21.6409931182861	5	4.89	27.56	15.91	0.52	0.00	3.88	1.63	3.74	6.02	9.77	61.68	6.23	45.10	46.33	5.21	250.00	200.00	550.00
124	-55.5621032714844	-21.6416339874268	5	5.17	28.23	6.95	0.47	0.00	5.68	1.64	3.44	7.80	11.24	69.41	5.64	55.19	51.28	6.38	200.00	200.00	600.00
125	-55.5624206110494	-21.6422692486066	5	5.10	33.25	12.74	0.47	0.00	5.26	1.61	3.78	7.34	11.12	65.98	6.04	54.93	49.66	6.12	250.00	150.00	600.00
126	-55.5631637136579	-21.6422937442148	5	5.60	34.43	3.97	0.59	0.00	6.62	2.04	2.81	9.24	12.05	76.69	5.85	53.11	34.03	5.70	250.00	150.00	600.00
127	-55.5628242492676	-21.6416473388672	5	5.22	33.57	13.30	0.36	0.00	6.87	2.16	4.48	9.39	13.88	67.69	7.08	63.20	79.92	4.82	250.00	175.00	575.00
128	-55.5624847412109	-21.6410350799561	5	4.89	33.50	18.61	0.47	0.00	4.94	1.28	4.68	6.69	11.37	58.86	4.48	36.07	36.26	2.40	250.00	175.00	575.00
129	-55.5617828369141	-21.6403427124023	5	5.01	37.36	12.83	0.69	0.00	6.44	1.89	4.53	9.03	13.56	66.58	6.53	53.87	65.45	4.24	250.00	200.00	550.00
130	-55.5618934631348	-21.6397609710693	5	4.98	21.18	14.32	0.41	0.00	6.42	2.48	4.93	9.31	14.24	65.36	7.82	56.42	73.64	4.30	250.00	200.00	550.00
131	-55.5611991882324	-21.639123916626	5	4.88	21.69	15.07	0.36	0.12	5.71	1.68	4.30	7.75	12.04	64.32	8.41	53.17	51.00	5.64	350.00	200.00	450.00
132	-55.5613784790039	-21.6385040283203	5	4.94	22.40	12.55	0.29	0.00	3.88	2.07	3.91	6.23	10.14	61.48	6.84	55.84	47.85	5.44	375.00	175.00	450.00
133	-55.560733795166	-21.6379585266113	5	5.33	28.72	9.75	0.34	0.00	6.30	2.29	3.26	8.93	12.19	73.26	9.79	98.81	71.10	3.79	375.00	175.00	450.00
134	-55.5608100891113	-21.6372852325439	5	5.35	31.11	7.32	0.43	0.00	5.82	2.31	3.12	8.56	11.68	73.25	9.95	85.99	53.46	4.11	375.00	175.00	450.00
135	-55.5604160508246	-21.636658880396	5	5.39	27.34	10.12	0.39	0.00	5.37	2.14	2.78	7.89	10.67	73.95	7.94	62.84	35.87	3.78	375.00	175.00	450.00
136	-55.5611464894753	-21.6366787569917	5	5.12	31.53	7.14	0.36	0.00	5.13	1.78	3.63	7.27	10.90	66.73	6.77	77.81	32.35	2.63	350.00	200.00	450.00
137	-55.5615730285645	-21.6372852325439	5	5.29	22.66	8.91	0.24	0.00	6.28	2.38	3.78	8.90	12.68	70.17	9.45	96.50	47.45	4.86	400.00	150.00	450.00
138	-55.5614547729492	-21.63791847229	5	5.21	28.01	9.10	0.34	0.00	5.52	2.13	3.95	7.99	11.94	66.93	7.16	70.95	31.84	3.94	400.00	150.00	450.00
139	-55.562084197998	-21.6385040283203	5	5.40	25.76	6.86	0.46	0.00	5.66	1.97	3.51	8.09	11.60	69.73	9.51	61.15	57.84	2.94	375.00	175.00	450.00
140	-55.5618934631348	-21.6391105651855	5	5.96	26.83	9.94	0.42	0.00	5.27	1.88	3.09	7.58	10.67	71.02	5.36	74.43	31.71	5.94	400.00	150.00	450.00
141	-55.562614440918	-21.6397609710693	5	4.65	30.07	10.31	0.50	0.00	5.53	1.95	6.17	7.98	14.14	56.41	6.97	44.60	56.41	4.35	250.00	175.00	575.00
142	-55.5625038146973	-21.6403560638428	5	4.98	30.13	24.12	0.46	0.00	4.56	2.06	4.88	7.08	11.96	59.18	7.20	55.99	60.09	4.90	250.00	175.00	575.00
143	-55.5631904602051	-21.641019821167	5	5.04	31.80	10.31	0.37	0.00	5.36	1.80	3.99	7.52	11.51	65.34	5.80	50.84	64.68	6.50	225.00	225.00	550.00
144	-55.563533782959	-21.6416473388672	5	5.51	33.72	7.04	0.35	0.00	4.65	1.83	3.26	6.82	10.08	67.67	5.13	24.27	23.69	2.60	250.00	175.00	575.00
145	-55.5638623139666	-21.6422997859777	5	5.25	31.00	12.27	0.33	0.00	6.66	1.62	3.70	8.61	12.31	69.92	5.53	61.77	45.09	4.89	225.00	175.00	600.00
146	-55.564611723314	-21.6422972310103	5	5.20	34.35	6.86	0.44	0.00	5.80	1.84	3.40	8.09	11.49	70.39	6.58	52.80	126.85	4.64	225.00	175.00	600.00
147	-55.564266204834	-21.6416606903076	5	5.22	33.83	8.07	0.52	0.00	4.92	2.10	4.34	7.53	11.88	63.43	5.18	44.36	41.05	6.97	250.00	150.00	600.00
148	-55.5639533996582	-21.641019821167	5	5.38	24.02	7.32	0.56	0.00	5.16	2.13	2.93	7.84	10.78	72.79	5.27	31.86	41.43	2.14	225.00	175.00	600.00
